brightness,gauss_amp,gauss_amp_unc,gaussian_width,gaussian_width_unc,int_wv,obs_line_center,obs_line_center_unc
2.253152614270342e-16,4.521772397734858e-16,1.92188626999099e-17,0.1987888294598253,0.009756463456530362,1409.337,1409.3250419191181,0.00975646336866333
1.1404108307525996e-16,1.860217037043173e-16,1.3873419858501423e-17,0.24457258930285536,0.021061382607686842,1412.873,1412.9470230457132,0.0210613824072728
1.9878505397463817e-15,3.814471993089355e-15,6.529337427946162e-17,0.20790233323521046,0.004109221462729992,1425.03,1425.0736467810673,0.004109221442409128
1.9878518863068106e-15,3.814472854087501e-15,6.494478342518477e-17,0.20790242713976248,0.004087286059924085,1425.219,1425.0736468029772,0.004087286028618383
6.462607442613819e-33,2.5782073515547076e-33,2.4890186680781196e-34,0.9999999995892186,2.34595668120058e-10,1433.28,1433.2799999995011,1.726328084819067e-10
1.2030334263675265e-32,4.7994089872410246e-33,4.66020661889526e-34,0.9999999995626705,3.789550136162826e-10,1433.311,1433.3110000002262,2.780665593418457e-10
-3.4278301876905985e-33,-1.3675063939123156e-33,1.3201916849266479e-34,0.9999999985329815,2.030281705998978e-10,1436.968,1436.9680000006472,1.4940217377173553e-10
-3.569578693554058e-32,-1.424055863913125e-32,1.351578568121233e-33,1.0000000001163563,1.1650527211189247e-09,1448.229,1448.228999999908,8.646058613135094e-10
3.6397255839597627e-17,6.969678863717872e-17,1.0704523872429454e-17,0.20833677603988981,0.03704604886362193,1208.85,1208.8874223535604,0.03690182143623486
2.9087191684541794e-17,6.103005667493649e-17,1.2470288644868041e-17,0.19013763403353043,0.044888607701259096,1211.212,1211.183633323481,0.04485198619501709
3.0444324318799417e-16,1.5112052289864897e-16,1.4815145855488964e-16,0.8036981302114867,0.9219877966139403,1211.38,1211.3476540002466,0.3689853616659356
3.757200051260245e-16,2.508110134452199e-16,6.605589247873444e-17,0.5976236592582969,0.189212411497804,1212.795,1212.963495786795,0.12598256405847316
2.785085740007601e-16,2.4313720004647476e-16,3.9122695757471196e-17,0.4569800326810393,0.0924947792608087,1218.595,1218.4330762669586,0.07172876196045401
5.3429557019049397e-17,9.227700627331281e-17,1.1443101122008058e-17,0.23099264029962885,0.03337149862649497,1224.424,1224.489429826328,0.03292514892554437
5.468833433132972e-17,9.306641214120383e-17,1.1507014756227316e-17,0.23442924582065475,0.0337161502632888,1224.479,1224.490921709992,0.033343172856795736
5.602531671015308e-17,9.388826338517578e-17,1.1621129274728986e-17,0.23805816406324107,0.034369307474158284,1224.544,1224.4911420778667,0.03384592626425307
1.594848958800182e-16,1.4867778899626464e-16,2.4869887419351822e-17,0.4279406391600163,0.09289071657447844,1227.089,1227.0047293022797,0.0701432214567959
3.5007043583646073e-16,3.5183855044043567e-16,3.5895181082612394e-17,0.39693745270066527,0.05010780150808215,1233.922,1234.1313040701093,0.043284340759978876
1.1282242519348014e-18,1.2613504928700242e-17,2.7857756659075316e-18,0.035683686526093134,0.009100721927217547,1241.905,1241.9558768282664,0.009100722117710224
1.124836047436124e-16,1.6424856239788153e-16,1.5739695682407214e-17,0.2732107065600042,0.030976690339155812,1247.16,1247.199238609941,0.029836169433525225
1.8981866859640338e-15,2.2403748878475047e-15,7.332878760242757e-17,0.3380090221657915,0.01377212433966396,1250.814,1250.605755147334,0.012136781741926625
4.46998678614795e-15,5.184323855515466e-15,3.1167705223727767e-16,0.34397286348787104,0.015845865726496575,1253.297,1253.8793321947433,0.024097618238305713
3.738906086618344e-15,4.648247048743753e-15,2.0816463226250745e-16,0.3208968251387251,0.01303942847858659,1253.325,1253.8368639992195,0.016813652031466564
2.782007870228203e-17,3.819683282667419e-17,1.0482840570686323e-17,0.2905635053251111,0.09612723768278139,1256.093,1256.193175123822,0.08986156662460239
3.8948051929734463e-17,6.849479290642978e-17,9.693478647809793e-18,0.22684972090167593,0.03725552030553843,1262.86,1262.909325860939,0.03697664562792341
1.7317128118381343e-17,4.303721635523998e-17,7.313822082398902e-18,0.16052466136578275,0.031502541917965865,1269.209,1269.2665057653396,0.03150164609406603
1.4536416166788339e-16,3.733239131221228e-16,1.9787069122676083e-17,0.1553393932347898,0.009507359838261457,1270.782,1270.7821072651293,0.009507342618596962
-7.624316390898936e-33,-6.0833243248274365e-33,1.0417148707646396e-33,0.5000000008340053,3.269338248523928e-10,1277.199,1277.1989999998025,2.1679634971474363e-10
-6.302813120802225e-33,-5.028917279741368e-33,8.61187445105498e-34,0.49999999989783617,4.359137559218649e-10,1277.212,1277.2120000002744,2.8908051041183456e-10
-1.2926894434379613e-32,-1.0314169469778768e-32,1.766217115352588e-33,0.5000000008988225,5.439300361500176e-10,1280.099,1280.0990000003994,3.6069362523695466e-10
1.0039557532483056e-15,1.1826274785536041e-15,5.490578971588356e-17,0.3386699572657215,0.019350729812474137,1295.652,1295.6899789275105,0.017399330576739026
5.8040845769247806e-15,3.5021369863756084e-15,1.855640832005279e-15,0.6611662381480634,0.14535488149834472,1296.174,1295.102697801702,0.3623768523941738
5.163272520423925e-15,7.50144471160558e-15,1.372182054997127e-16,0.27459346736838003,0.005954995861678008,1302.337,1302.238219285976,0.0057195515834354005
2.8449274237665163e-13,1.4385244959870036e-13,1.3684879411684542e-13,0.7889763693146321,0.12461938474590112,1302.863,1300.7456025879374,0.5616674105311608
1.74159384432106e-12,7.103498578865241e-13,2.9609684941133676e-12,0.9781031305527939,0.39892986917742035,1303.111,1299.7762444658345,2.427627945339813
2.406731516397886e-15,3.202151878821587e-15,1.320335206963873e-16,0.29984429090200154,0.014883593493688478,1305.883,1305.9828377299182,0.013946879971468833
